map,item_const,source_type,x,y,quantity,price,currency,notes
BIKE_SHOP,BICYCLE,npc_gift,,,1,,,BikeShop.asm
BILLS_HOUSE,S_S_TICKET,npc_gift,,,1,,,BillsHouse_2.asm
CELADON_CITY,PP_UP,hidden_item,48,15,1,,,
CELADON_CITY,TM_SOFTBOILED,npc_gift,,,1,,,CeladonCity.asm
CELADON_DINER,COIN_CASE,npc_gift,,,1,,,CeladonDiner_2.asm
CELADON_GYM,TM_MEGA_DRAIN,npc_gift,,,1,,,CeladonGym.asm
CELADON_MART_2F,TM_BIDE,mart,,,unlimited,2000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_DOUBLE_TEAM,mart,,,unlimited,1000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_EGG_BOMB,mart,,,unlimited,2000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_MEGA_KICK,mart,,,unlimited,3000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_MEGA_PUNCH,mart,,,unlimited,3000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_PAY_DAY,mart,,,unlimited,5000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_RAGE,mart,,,unlimited,2000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_RAZOR_WIND,mart,,,unlimited,2000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_REFLECT,mart,,,unlimited,1000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_REST,mart,,,unlimited,2000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_SEISMIC_TOSS,mart,,,unlimited,3000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_SKULL_BASH,mart,,,unlimited,4000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_SWIFT,mart,,,unlimited,2000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_TAKE_DOWN,mart,,,unlimited,3000,money,CeladonMart2FClerk2Text
CELADON_MART_2F,TM_TELEPORT,mart,,,unlimited,1000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_THUNDER_WAVE,mart,,,unlimited,2000,money,CeladonMart2FClerk1Text
CELADON_MART_2F,TM_WATER_GUN,mart,,,unlimited,1000,money,CeladonMart2FClerk1Text
CELADON_MART_3F,TM_COUNTER,npc_gift,,,1,,,CeladonMart3F_2.asm
CELADON_MART_4F,ANTIDOTE,mart,,,unlimited,100,money,CeladonMart4FClerkText
CELADON_MART_4F,AWAKENING,mart,,,unlimited,200,money,CeladonMart4FClerkText
CELADON_MART_4F,BURN_HEAL,mart,,,unlimited,250,money,CeladonMart4FClerkText
CELADON_MART_4F,FULL_HEAL,mart,,,unlimited,600,money,CeladonMart4FClerkText
CELADON_MART_4F,GREAT_BALL,mart,,,unlimited,600,money,CeladonMart4FClerkText
CELADON_MART_4F,ICE_HEAL,mart,,,unlimited,250,money,CeladonMart4FClerkText
CELADON_MART_4F,PARLYZ_HEAL,mart,,,unlimited,200,money,CeladonMart4FClerkText
CELADON_MART_4F,POKE_BALL,mart,,,unlimited,200,money,CeladonMart4FClerkText
CELADON_MART_4F,POTION,mart,,,unlimited,200,money,CeladonMart4FClerkText
CELADON_MART_4F,REVIVE,mart,,,unlimited,1500,money,CeladonMart4FClerkText
CELADON_MART_4F,SUPER_POTION,mart,,,unlimited,500,money,CeladonMart4FClerkText
CELADON_MART_4F,SUPER_REPEL,mart,,,unlimited,500,money,CeladonMart4FClerkText
CELADON_MART_5F,CALCIUM,mart,,,unlimited,9800,money,CeladonMart5FClerk2Text
CELADON_MART_5F,CARBOS,mart,,,unlimited,9800,money,CeladonMart5FClerk2Text
CELADON_MART_5F,FIRE_STONE,mart,,,unlimited,2100,money,CeladonMart5FClerk1Text
CELADON_MART_5F,HP_UP,mart,,,unlimited,9800,money,CeladonMart5FClerk2Text
CELADON_MART_5F,IRON,mart,,,unlimited,9800,money,CeladonMart5FClerk2Text
CELADON_MART_5F,LEAF_STONE,mart,,,unlimited,2100,money,CeladonMart5FClerk1Text
CELADON_MART_5F,POKE_DOLL,mart,,,unlimited,1000,money,CeladonMart5FClerk1Text
CELADON_MART_5F,PROTEIN,mart,,,unlimited,9800,money,CeladonMart5FClerk2Text
CELADON_MART_5F,THUNDER_STONE,mart,,,unlimited,2100,money,CeladonMart5FClerk1Text
CELADON_MART_5F,WATER_STONE,mart,,,unlimited,2100,money,CeladonMart5FClerk1Text
CELADON_MART_ROOF,TM_ICE_BEAM,npc_gift,,,1,,,CeladonMartRoof.asm
CELADON_MART_ROOF,TM_ROCK_SLIDE,npc_gift,,,1,,,CeladonMartRoof.asm
CELADON_MART_ROOF,TM_TRI_ATTACK,npc_gift,,,1,,,CeladonMartRoof.asm
CELADON_MART_ROOF,FRESH_WATER,vending_machine,,,unlimited,200,money,VendingPrices
CELADON_MART_ROOF,LEMONADE,vending_machine,,,unlimited,350,money,VendingPrices
CELADON_MART_ROOF,SODA_POP,vending_machine,,,unlimited,300,money,VendingPrices
CERULEAN_CAVE_1F,PP_UP,hidden_item,18,7,1,,,
CERULEAN_CAVE_1F,MAX_ELIXER,item_ball,7,11,1,,,
CERULEAN_CAVE_1F,MAX_REVIVE,item_ball,29,9,1,,,
CERULEAN_CAVE_1F,RARE_CANDY,item_ball,29,16,1,,,
CERULEAN_CAVE_1F,ULTRA_BALL,item_ball,18,3,1,,,
CERULEAN_CAVE_2F,PP_UP,hidden_item,16,13,1,,,
CERULEAN_CAVE_2F,FULL_RESTORE,item_ball,27,9,1,,,
CERULEAN_CAVE_2F,MAX_REVIVE,item_ball,19,11,1,,,
CERULEAN_CAVE_2F,RARE_CANDY,item_ball,0,11,1,,,
CERULEAN_CAVE_2F,ULTRA_BALL,item_ball,16,7,1,,,
CERULEAN_CAVE_B1F,PP_UP,hidden_item,8,14,1,,,
CERULEAN_CAVE_B1F,MAX_ELIXER,item_ball,15,3,1,,,
CERULEAN_CAVE_B1F,MAX_REVIVE,item_ball,3,13,1,,,
CERULEAN_CAVE_B1F,ULTRA_BALL,item_ball,26,1,1,,,
CERULEAN_CAVE_B1F,ULTRA_BALL,item_ball,2,13,1,,,
CERULEAN_CITY,RARE_CANDY,hidden_item,15,8,1,,,
CERULEAN_CITY,TM_DIG,npc_gift,,,1,,,CeruleanCity.asm
CERULEAN_GYM,TM_BUBBLEBEAM,npc_gift,,,1,,,CeruleanGym.asm
CERULEAN_MART,ANTIDOTE,mart,,,unlimited,100,money,CeruleanMartClerkText
CERULEAN_MART,AWAKENING,mart,,,unlimited,200,money,CeruleanMartClerkText
CERULEAN_MART,BURN_HEAL,mart,,,unlimited,250,money,CeruleanMartClerkText
CERULEAN_MART,ESCAPE_ROPE,mart,,,unlimited,550,money,CeruleanMartClerkText
CERULEAN_MART,PARLYZ_HEAL,mart,,,unlimited,200,money,CeruleanMartClerkText
CERULEAN_MART,POKE_BALL,mart,,,unlimited,200,money,CeruleanMartClerkText
CERULEAN_MART,POTION,mart,,,unlimited,200,money,CeruleanMartClerkText
CERULEAN_MART,REPEL,mart,,,unlimited,10,money,CeruleanMartClerkText
CINNABAR_GYM,TM_FIRE_BLAST,npc_gift,,,1,,,CinnabarGym.asm
CINNABAR_LAB_METRONOME_ROOM,TM_METRONOME,npc_gift,,,1,,,CinnabarLabMetronomeRoom.asm
