item_const,item_id,item_name,price,is_key_item,tm_number,tm_move,description
MASTER_BALL,1,MASTER BALL,0,False,,,The best Ball. Catches any wild Pokemon without fail.
ULTRA_BALL,2,ULTRA BALL,1200,False,,,A high-performance Ball with a better catch rate than a Great Ball.
GREAT_BALL,3,GREAT BALL,600,False,,,A good Ball with a better catch rate than a Poke Ball.
POKE_BALL,4,POKé BALL,200,False,,,A basic Ball used to catch wild Pokemon.
TOWN_MAP,5,TOWN MAP,0,True,,,A map of the Kanto region.
BICYCLE,6,BICYCLE,0,True,,,A folding bicycle. Travel twice as fast as walking.
SURFBOARD,7,?????,0,True,,,Lets the player surf on water without an HM user.
SAFARI_BALL,8,SAFARI BALL,1000,True,,,A special Ball used only in the Safari Zone.
POKEDEX,9,POKéDEX,0,True,,,A high-tech encyclopedia that records Pokemon data.
MOON_STONE,10,MOON STONE,0,False,,,A stone that makes certain Pokemon evolve.
ANTIDOTE,11,ANTIDOTE,100,False,,,Cures a poisoned Pokemon.
BURN_HEAL,12,BURN HEAL,250,False,,,Heals a burned Pokemon.
ICE_HEAL,13,ICE HEAL,250,False,,,Defrosts a frozen Pokemon.
AWAKENING,14,AWAKENING,200,False,,,Awakens a sleeping Pokemon.
PARLYZ_HEAL,15,PARLYZ HEAL,200,False,,,Cures a paralyzed Pokemon.
FULL_RESTORE,16,FULL RESTORE,3000,False,,,Fully restores HP and cures all status problems.
MAX_POTION,17,MAX POTION,2500,False,,,Fully restores a Pokemon's HP.
HYPER_POTION,18,HYPER POTION,1200,False,,,Restores 200 HP.
SUPER_POTION,19,SUPER POTION,500,False,,,Restores 50 HP.
POTION,20,POTION,200,False,,,Restores 20 HP.
BOULDERBADGE,21,BOULDERBADGE,0,True,,,Pewter Gym badge from Brock.
CASCADEBADGE,22,CASCADEBADGE,0,True,,,Cerulean Gym badge from Misty.
THUNDERBADGE,23,THUNDERBADGE,0,True,,,Vermilion Gym badge from Lt. Surge.
RAINBOWBADGE,24,RAINBOWBADGE,0,True,,,Celadon Gym badge from Erika.
SOULBADGE,25,SOULBADGE,0,True,,,Fuchsia Gym badge from Koga.
MARSHBADGE,26,MARSHBADGE,0,True,,,Saffron Gym badge from Sabrina.
VOLCANOBADGE,27,VOLCANOBADGE,0,True,,,Cinnabar Gym badge from Blaine.
EARTHBADGE,28,EARTHBADGE,0,True,,,Viridian Gym badge from Giovanni.
ESCAPE_ROPE,29,ESCAPE ROPE,550,False,,,Escape instantly from a cave or dungeon.
REPEL,30,REPEL,10,False,,,Repels weak wild Pokemon for 100 steps.
