game_route_map,map_location
OaksLab,OaksLab
Route1,Route1
Route22,Route22
Route2,Route2
ViridianForest,ViridianForest
Route3,Route3
MtMoon1F,MtMoon
MtMoonB1F,MtMoon
MtMoonB2F,MtMoon
Route4,Route4
Route24,Route24
Route25,Route25
Route5,Route5
Route6,Route6
Route11,Route11
DiglettsCave,DiglettsCave
Route9,Route9
Route10,Route10
RockTunnel1F,RockTunnel
RockTunnelB1F,RockTunnel
Route8,Route8
Route7,Route7
Route16,Route16
PokemonTower1F,LavenderTown
PokemonTower2F,LavenderTown
PokemonTower3F,LavenderTown
PokemonTower4F,LavenderTown
PokemonTower5F,LavenderTown
PokemonTower6F,LavenderTown
PokemonTower7F,LavenderTown
Route17,Route17
Route18,Route18
SafariZoneCenter,SafariZone
SafariZoneEast,SafariZone
SafariZoneNorth,SafariZone
SafariZoneWest,SafariZone
Route15,Route15
Route14,Route14
Route13,Route13
Route12,Route12
Route19,Route19
Route20,Route20
SeafoamIslands1F,SeafoamIslands
SeafoamIslandsB1F,SeafoamIslands
SeafoamIslandsB2F,SeafoamIslands
SeafoamIslandsB3F,SeafoamIslands
PokemonMansion1F,CinnabarIsland
PokemonMansion2F,CinnabarIsland
PokemonMansion3F,CinnabarIsland
PokemonMansionB1F,CinnabarIsland
Route21,Route21
SaffronCity,SaffronCity
CinnabarIsland,CinnabarIsland
SeafoamIslandsB4F,SeafoamIslands
PowerPlant,PowerPlant
VirdianCity,VirdianCity
Route23,Route23
VictoryRoad1F,VictoryRoad
VictoryRoad2F,VictoryRoad
VictoryRoad3F,VictoryRoad
CeruleanCave1F,CeruleanCave
CeruleanCave2F,CeruleanCave
CeruleanCaveB1F,CeruleanCave
CeruleanCaveB1F_Mewtwo,CeruleanCave
