map_name,map_id_hex,width,height,area_type,parent_area
AGATHAS_ROOM,,10,12,indoor,
BIKE_SHOP,,8,8,indoor,
BILLS_HOUSE,,8,8,indoor,
BRUNOS_ROOM,,10,12,indoor,
CELADON_CHIEF_HOUSE,,8,8,indoor,CELADON_CITY
CELADON_CITY,,50,36,city,
CELADON_DINER,,10,8,indoor,CELADON_CITY
CELADON_GYM,,10,18,indoor,CELADON_CITY
CELADON_HOTEL,,14,8,indoor,CELADON_CITY
CELADON_MANSION_1F,,8,12,indoor,CELADON_CITY
CELADON_MANSION_2F,,8,12,indoor,CELADON_CITY
CELADON_MANSION_3F,,8,12,indoor,CELADON_CITY
CELADON_MANSION_ROOF,,8,12,indoor,CELADON_CITY
CELADON_MANSION_ROOF_HOUSE,,8,8,indoor,CELADON_CITY
CELADON_MART_1F,,20,8,indoor,CELADON_CITY
CELADON_MART_2F,,20,8,indoor,CELADON_CITY
CELADON_MART_3F,,20,8,indoor,CELADON_CITY
CELADON_MART_4F,,20,8,indoor,CELADON_CITY
CELADON_MART_5F,,20,8,indoor,CELADON_CITY
CELADON_MART_ELEVATOR,,4,4,indoor,CELADON_CITY
CELADON_MART_ROOF,,20,8,indoor,CELADON_CITY
CELADON_POKECENTER,,14,8,indoor,CELADON_CITY
CERULEAN_BADGE_HOUSE,,8,8,indoor,CERULEAN_CITY
CERULEAN_CAVE_1F,,30,18,dungeon,
CERULEAN_CAVE_2F,,30,18,dungeon,
CERULEAN_CAVE_B1F,,30,18,dungeon,
CERULEAN_CITY,,40,36,city,
CERULEAN_GYM,,10,14,indoor,CERULEAN_CITY
CERULEAN_MART,,8,8,indoor,CERULEAN_CITY
CERULEAN_POKECENTER,,14,8,indoor,CERULEAN_CITY
CERULEAN_TRASHED_HOUSE,,8,8,indoor,CERULEAN_CITY
CHAMPIONS_ROOM,,8,8,indoor,
CINNABAR_GYM,,20,18,indoor,CINNABAR_ISLAND
CINNABAR_ISLAND,,20,18,city,
CINNABAR_LAB,,18,8,indoor,CINNABAR_ISLAND
CINNABAR_LAB_FOSSIL_ROOM,,8,8,indoor,CINNABAR_ISLAND
CINNABAR_LAB_METRONOME_ROOM,,8,8,indoor,CINNABAR_ISLAND
CINNABAR_LAB_TRADE_ROOM,,8,8,indoor,CINNABAR_ISLAND
CINNABAR_MART,,8,8,indoor,CINNABAR_ISLAND
CINNABAR_POKECENTER,,14,8,indoor,CINNABAR_ISLAND
COLOSSEUM,,10,8,indoor,
COPYCATS_HOUSE_1F,,8,8,indoor,
COPYCATS_HOUSE_2F,,8,8,indoor,
DAYCARE,,8,8,indoor,
DIGLETTS_CAVE,,40,36,dungeon,
DIGLETTS_CAVE_ROUTE_11,,8,8,route,
DIGLETTS_CAVE_ROUTE_2,,8,8,route,
FIGHTING_DOJO,,10,12,indoor,
FUCHSIA_BILLS_GRANDPAS_HOUSE,,8,8,indoor,FUCHSIA_CITY
FUCHSIA_CITY,,40,36,city,
FUCHSIA_GOOD_ROD_HOUSE,,8,8,indoor,FUCHSIA_CITY
FUCHSIA_GYM,,10,18,indoor,FUCHSIA_CITY
FUCHSIA_MART,,8,8,indoor,FUCHSIA_CITY
FUCHSIA_MEETING_ROOM,,14,8,indoor,FUCHSIA_CITY
FUCHSIA_POKECENTER,,14,8,indoor,FUCHSIA_CITY
GAME_CORNER,,20,18,indoor,
GAME_CORNER_PRIZE_ROOM,,10,8,indoor,
HALL_OF_FAME,,10,8,indoor,
INDIGO_PLATEAU,,20,18,city,
INDIGO_PLATEAU_LOBBY,,16,12,indoor,INDIGO_PLATEAU
LANCES_ROOM,,26,26,indoor,
LAVENDER_CUBONE_HOUSE,,8,8,indoor,LAVENDER_TOWN
LAVENDER_MART,,8,8,indoor,LAVENDER_TOWN
LAVENDER_POKECENTER,,14,8,indoor,LAVENDER_TOWN
LAVENDER_TOWN,,20,18,town,
LORELEIS_ROOM,,10,12,indoor,
MR_FUJIS_HOUSE,,8,8,indoor,
MR_PSYCHICS_HOUSE,,8,8,indoor,
MT_MOON_1F,,40,36,dungeon,
MT_MOON_B1F,,28,28,dungeon,
MT_MOON_B2F,,40,36,dungeon,
MT_MOON_POKECENTER,,14,8,dungeon,
MUSEUM_1F,,20,8,indoor,
MUSEUM_2F,,14,8,indoor,
NAME_RATERS_HOUSE,,8,8,indoor,
OAKS_LAB,,10,12,indoor,
PALLET_TOWN,,20,18,town,
PEWTER_CITY,,40,36,city,
PEWTER_GYM,,10,14,indoor,PEWTER_CITY
PEWTER_MART,,8,8,indoor,PEWTER_CITY
