map_name,tileset_name
AGATHAS_ROOM,Dojo
BIKE_SHOP,House
BILLS_HOUSE,House
BRUNOS_ROOM,Dojo
CELADON_CHIEF_HOUSE,House
CELADON_CITY,Overworld
CELADON_DINER,Gate
CELADON_GYM,Gym
CELADON_HOTEL,Pokecenter
CELADON_MANSION_1F,Mansion
CELADON_MANSION_2F,Mansion
CELADON_MANSION_3F,Mansion
CELADON_MANSION_ROOF,Mansion
CELADON_MANSION_ROOF_HOUSE,House
CELADON_MART_1F,Mart
CELADON_MART_2F,Mart
CELADON_MART_3F,Mart
CELADON_MART_4F,Mart
CELADON_MART_5F,Mart
CELADON_MART_ELEVATOR,Facility
CELADON_MART_ROOF,Mart
CELADON_POKECENTER,Pokecenter
CERULEAN_BADGE_HOUSE,House
CERULEAN_CAVE_1F,Cavern
CERULEAN_CAVE_2F,Cavern
CERULEAN_CAVE_B1F,Cavern
CERULEAN_CITY,Overworld
CERULEAN_GYM,Gym
CERULEAN_MART,Mart
CERULEAN_POKECENTER,Pokecenter
CERULEAN_TRASHED_HOUSE,House
CHAMPIONS_ROOM,Lobby
CINNABAR_GYM,Gym
CINNABAR_ISLAND,Overworld
CINNABAR_LAB,Lab
CINNABAR_LAB_FOSSIL_ROOM,Lab
CINNABAR_LAB_METRONOME_ROOM,Lab
CINNABAR_LAB_TRADE_ROOM,Lab
CINNABAR_MART,Mart
CINNABAR_POKECENTER,Pokecenter
COLOSSEUM,Gate
COPYCATS_HOUSE_1F,House
COPYCATS_HOUSE_2F,RedsHouse2
DAYCARE,House
DIGLETTS_CAVE,Cavern
DIGLETTS_CAVE_ROUTE_11,Cavern
DIGLETTS_CAVE_ROUTE_2,Cavern
FIGHTING_DOJO,Dojo
FUCHSIA_BILLS_GRANDPAS_HOUSE,House
FUCHSIA_CITY,Overworld
FUCHSIA_GOOD_ROD_HOUSE,House
FUCHSIA_GYM,Gym
FUCHSIA_MART,Mart
FUCHSIA_MEETING_ROOM,Pokecenter
FUCHSIA_POKECENTER,Pokecenter
GAME_CORNER,Club
GAME_CORNER_PRIZE_ROOM,Gate
HALL_OF_FAME,Lobby
INDIGO_PLATEAU,Overworld
INDIGO_PLATEAU_LOBBY,Lobby
LANCES_ROOM,Dojo
LAVENDER_CUBONE_HOUSE,House
LAVENDER_MART,Mart
LAVENDER_POKECENTER,Pokecenter
LAVENDER_TOWN,Overworld
LORELEIS_ROOM,Dojo
MR_FUJIS_HOUSE,House
MR_PSYCHICS_HOUSE,House
MT_MOON_1F,Cavern
MT_MOON_B1F,Cavern
MT_MOON_B2F,Cavern
MT_MOON_POKECENTER,Pokecenter
MUSEUM_1F,Museum
MUSEUM_2F,Museum
NAME_RATERS_HOUSE,House
OAKS_LAB,Dojo
PALLET_TOWN,Overworld
PEWTER_CITY,Overworld
PEWTER_GYM,Gym
PEWTER_MART,Mart
PEWTER_NIDORAN_HOUSE,House
PEWTER_POKECENTER,Pokecenter
PEWTER_SPEECH_HOUSE,House
PLAYERS_HOUSE_1F,RedsHouse1
PLAYERS_HOUSE_2F,RedsHouse2
POKEMON_FAN_CLUB,Club
POKEMON_MANSION_1F,Mansion
POKEMON_MANSION_2F,Mansion
POKEMON_MANSION_3F,Mansion
POKEMON_MANSION_B1F,Mansion
POKEMON_TOWER_1F,Cemetery
POKEMON_TOWER_2F,Cemetery
POKEMON_TOWER_3F,Cemetery
POKEMON_TOWER_4F,Cemetery
POKEMON_TOWER_5F,Cemetery
POKEMON_TOWER_6F,Cemetery
POKEMON_TOWER_7F,Cemetery
POWER_PLANT,Facility
RIVALS_HOUSE,House
ROCKET_HIDEOUT_B1F,Facility
ROCKET_HIDEOUT_B2F,Facility
ROCKET_HIDEOUT_B3F,Facility
ROCKET_HIDEOUT_B4F,Facility
ROCKET_HIDEOUT_ELEVATOR,Facility
ROCK_TUNNEL_1F,Cavern
ROCK_TUNNEL_B1F,Cavern
ROCK_TUNNEL_POKECENTER,Pokecenter
ROUTE_1,Overworld
ROUTE_10,Overworld
ROUTE_11,Overworld
ROUTE_11_GATE_1F,Gate
ROUTE_11_GATE_2F,Gate
ROUTE_12,Overworld
ROUTE_12_GATE_1F,Gate
ROUTE_12_GATE_2F,Gate
ROUTE_12_SUPER_ROD_HOUSE,House
ROUTE_13,Overworld
ROUTE_14,Overworld
ROUTE_15,Overworld
ROUTE_15_GATE_1F,Gate
ROUTE_15_GATE_2F,Gate
ROUTE_16,Overworld
ROUTE_16_FLY_HOUSE,House
ROUTE_16_GATE_1F,Gate
ROUTE_16_GATE_2F,Gate
ROUTE_17,Overworld
ROUTE_18,Overworld
ROUTE_18_GATE_1F,Gate
ROUTE_18_GATE_2F,Gate
ROUTE_19,Overworld
ROUTE_2,Overworld
ROUTE_20,Overworld
ROUTE_21,Overworld
ROUTE_22,Overworld
ROUTE_22_GATE,Gate
ROUTE_23,Overworld
ROUTE_24,Overworld
ROUTE_25,Overworld
ROUTE_2_GATE,Gate
ROUTE_2_TRADE_HOUSE,House
ROUTE_3,Overworld
ROUTE_4,Overworld
ROUTE_5,Overworld
ROUTE_5_GATE,Gate
