from_map,from_x,from_y,to_map,to_x,to_y,warp_type,notes
AGATHAS_ROOM,4,0,LANCES_ROOM,24,16,door,To LANCES_ROOM
AGATHAS_ROOM,5,0,LANCES_ROOM,24,16,door,To LANCES_ROOM
AGATHAS_ROOM,4,11,BRUNOS_ROOM,4,0,door,To BRUNOS_ROOM
AGATHAS_ROOM,5,11,BRUNOS_ROOM,5,0,door,To BRUNOS_ROOM
BIKE_SHOP,2,7,CERULEAN_CITY,13,25,door,To CERULEAN_CITY
BILLS_HOUSE,2,7,ROUTE_25,45,3,door,To ROUTE_25
BRUNOS_ROOM,4,0,AGATHAS_ROOM,4,11,door,To AGATHAS_ROOM
BRUNOS_ROOM,5,0,AGATHAS_ROOM,5,11,door,To AGATHAS_ROOM
BRUNOS_ROOM,4,11,LORELEIS_ROOM,4,0,door,To LORELEIS_ROOM
BRUNOS_ROOM,5,11,LORELEIS_ROOM,5,0,door,To LORELEIS_ROOM
CELADON_CHIEF_HOUSE,2,7,CELADON_CITY,35,27,door,To CELADON_CITY
CELADON_CITY,24,3,CELADON_MANSION_1F,4,0,door,To CELADON_MANSION_1F
CELADON_CITY,25,3,CELADON_MANSION_1F,4,0,door,To CELADON_MANSION_1F
CELADON_CITY,24,9,CELADON_MANSION_1F,4,11,door,To CELADON_MANSION_1F
CELADON_CITY,41,9,CELADON_POKECENTER,3,7,door,To CELADON_POKECENTER
CELADON_CITY,49,11,ROUTE_7,0,2,edge,East edge to ROUTE_7
CELADON_CITY,8,13,CELADON_MART_1F,2,7,door,To CELADON_MART_1F
CELADON_CITY,10,13,CELADON_MART_1F,16,7,door,To CELADON_MART_1F
CELADON_CITY,0,18,ROUTE_16,39,10,edge,West edge to ROUTE_16
CELADON_CITY,28,19,GAME_CORNER,15,17,door,To GAME_CORNER
CELADON_CITY,33,19,GAME_CORNER_PRIZE_ROOM,4,7,door,To GAME_CORNER_PRIZE_ROOM
CELADON_CITY,39,19,CELADON_MART_5F,12,1,door,To CELADON_MART_5F
CELADON_CITY,12,27,CELADON_GYM,4,17,door,To CELADON_GYM
CELADON_CITY,31,27,CELADON_DINER,3,7,door,To CELADON_DINER
CELADON_CITY,35,27,CELADON_CHIEF_HOUSE,2,7,door,To CELADON_CHIEF_HOUSE
CELADON_CITY,43,27,CELADON_HOTEL,3,7,door,To CELADON_HOTEL
CELADON_DINER,3,7,CELADON_CITY,31,27,door,To CELADON_CITY
