pokedex,pokemon,base_exp
1,Bulbasaur,64
2,Ivysaur,141
3,Venusaur,208
4,Charmander,65
5,Charmeleon,142
6,Charizard,209
7,Squirtle,66
8,Wartortle,143
9,Blastoise,210
10,Caterpie,53
11,Metapod,72
12,Butterfree,160
13,Weedle,52
14,Kakuna,71
15,Beedrill,159
16,Pidgey,55
17,Pidgeotto,113
18,Pidgeot,172
19,Rattata,57
20,Raticate,116
21,Spearow,58
22,Fearow,162
23,Ekans,62
24,Arbok,147
25,Pikachu,82
26,Raichu,122
27,Sandshrew,93
28,Sandslash,163
29,Nidoran_F,59
30,Nidorina,117
31,Nidoqueen,194
32,Nidoran_M,60
33,Nidorino,118
34,Nidoking,195
35,Clefairy,68
36,Clefable,129
37,Vulpix,63
38,Ninetales,178
39,Jigglypuff,76
40,Wigglytuff,109
41,Zubat,54
42,Golbat,171
43,Oddish,78
44,Gloom,132
45,Vileplume,184
46,Paras,70
47,Parasect,128
48,Venonat,75
49,Venomoth,138
50,Diglett,81
51,Dugtrio,153
52,Meowth,69
53,Persian,148
54,Psyduck,80
55,Golduck,174
56,Mankey,74
57,Primeape,149
58,Growlithe,91
59,Arcanine,213
60,Poliwag,77
61,Poliwhirl,131
62,Poliwrath,185
63,Abra,73
64,Kadabra,145
65,Alakazam,186
66,Machop,88
67,Machoke,146
68,Machamp,193
69,Bellsprout,84
70,Weepinbell,151
71,Victreebel,191
72,Tentacool,105
73,Tentacruel,205
74,Geodude,86
75,Graveler,134
76,Golem,177
77,Ponyta,152
78,Rapidash,192
79,Slowpoke,99
80,Slowbro,164
81,Magnemite,89
82,Magneton,169
83,Farfetchd,94
84,Doduo,96
85,Dodrio,158
86,Seel,100
87,Dewgong,176
88,Grimer,90
89,Muk,157
90,Shellder,97
91,Cloyster,203
92,Gastly,95
93,Haunter,126
94,Gengar,190
95,Onix,108
96,Drowzee,102
97,Hypno,165
98,Krabby,115
99,Kingler,206
100,Voltorb,103
101,Electrode,150
102,Exeggcute,98
103,Exeggutor,212
104,Cubone,87
105,Marowak,124
106,Hitmonlee,139
107,Hitmonchan,140
108,Lickitung,127
109,Koffing,114
110,Weezing,173
111,Rhyhorn,135
112,Rhydon,204
113,Chansey,255
114,Tangela,166
115,Kangaskhan,175
116,Horsea,83
117,Seadra,155
118,Goldeen,111
119,Seaking,170
120,Staryu,106
121,Starmie,207
122,Mr. Mime,136
123,Scyther,187
124,Jynx,137
125,Electabuzz,156
126,Magmar,167
127,Pinsir,200
128,Tauros,211
129,Magikarp,20
130,Gyarados,214
131,Lapras,219
132,Ditto,61
133,Eevee,92
134,Vaporeon,196
135,Jolteon,197
136,Flareon,198
137,Porygon,130
138,Omanyte,120
139,Omastar,199
140,Kabuto,119
141,Kabutops,201
142,Aerodactyl,202
143,Snorlax,154
144,Articuno,215
145,Zapdos,216
146,Moltres,217
147,Dratini,67
148,Dragonair,144
149,Dragonite,218
150,Mewtwo,220
151,Mew,154
