map,grass_rate,water_rate
ROUTE_1,25,
ROUTE_2,25,
ROUTE_3,20,
ROUTE_4,20,
ROUTE_5,15,
ROUTE_6,15,3
ROUTE_7,15,
ROUTE_8,15,
ROUTE_9,15,
ROUTE_10,15,
ROUTE_11,15,
ROUTE_12,15,3
ROUTE_13,15,3
ROUTE_14,15,
ROUTE_15,15,
ROUTE_16,25,
ROUTE_17,25,
ROUTE_18,25,
ROUTE_19,,5
ROUTE_20,,5
ROUTE_21,25,5
ROUTE_22,25,
ROUTE_23,10,
ROUTE_24,25,
ROUTE_25,15,
VIRIDIAN_FOREST,25,
DIGLETTS_CAVE,20,
MT_MOON_1F,10,
MT_MOON_B1F,10,
MT_MOON_B2F,10,
ROCK_TUNNEL_1F,15,
ROCK_TUNNEL_B1F,15,
POWER_PLANT,10,
POKEMON_TOWER_3F,10,
POKEMON_TOWER_4F,10,
POKEMON_TOWER_5F,15,
POKEMON_TOWER_6F,15,
POKEMON_TOWER_7F,20,
POKEMON_MANSION_1F,10,
POKEMON_MANSION_2F,10,
POKEMON_MANSION_3F,10,
POKEMON_MANSION_B1F,10,
SEAFOAM_ISLANDS_1F,15,
SEAFOAM_ISLANDS_B1F,10,
SEAFOAM_ISLANDS_B2F,10,
SEAFOAM_ISLANDS_B3F,10,5
SEAFOAM_ISLANDS_B4F,10,5
VICTORY_ROAD_1F,15,
VICTORY_ROAD_2F,10,
VICTORY_ROAD_3F,15,
CERULEAN_CAVE_1F,10,
CERULEAN_CAVE_2F,15,
CERULEAN_CAVE_B1F,25,
SAFARI_ZONE_CENTER,30,
SAFARI_ZONE_EAST,30,
SAFARI_ZONE_NORTH,30,
SAFARI_ZONE_WEST,30,
