pokedex,pokemon,growth_rate
1,Bulbasaur,medium_slow
2,Ivysaur,medium_slow
3,Venusaur,medium_slow
4,Charmander,medium_slow
5,Charmeleon,medium_slow
6,Charizard,medium_slow
7,Squirtle,medium_slow
8,Wartortle,medium_slow
9,Blastoise,medium_slow
10,Caterpie,medium_fast
11,Metapod,medium_fast
12,Butterfree,medium_fast
13,Weedle,medium_fast
14,Kakuna,medium_fast
15,Beedrill,medium_fast
16,Pidgey,medium_slow
17,Pidgeotto,medium_slow
18,Pidgeot,medium_slow
19,Rattata,medium_fast
20,Raticate,medium_fast
21,Spearow,medium_fast
22,Fearow,medium_fast
23,Ekans,medium_fast
24,Arbok,medium_fast
25,Pikachu,medium_fast
26,Raichu,medium_fast
27,Sandshrew,medium_fast
28,Sandslash,medium_fast
29,Nidoran_F,medium_slow
30,Nidorina,medium_slow
31,Nidoqueen,medium_slow
32,Nidoran_M,medium_slow
33,Nidorino,medium_slow
34,Nidoking,medium_slow
35,Clefairy,fast
36,Clefable,fast
37,Vulpix,medium_fast
38,Ninetales,medium_fast
39,Jigglypuff,fast
40,Wigglytuff,fast
41,Zubat,medium_fast
42,Golbat,medium_fast
43,Oddish,medium_slow
44,Gloom,medium_slow
45,Vileplume,medium_slow
46,Paras,medium_fast
47,Parasect,medium_fast
48,Venonat,medium_fast
49,Venomoth,medium_fast
50,Diglett,medium_fast
51,Dugtrio,medium_fast
52,Meowth,medium_fast
53,Persian,medium_fast
54,Psyduck,medium_fast
55,Golduck,medium_fast
56,Mankey,medium_fast
57,Primeape,medium_fast
58,Growlithe,slow
59,Arcanine,slow
60,Poliwag,medium_slow
61,Poliwhirl,medium_slow
62,Poliwrath,medium_slow
63,Abra,medium_slow
64,Kadabra,medium_slow
65,Alakazam,medium_slow
66,Machop,medium_slow
67,Machoke,medium_slow
68,Machamp,medium_slow
69,Bellsprout,medium_slow
70,Weepinbell,medium_slow
71,Victreebel,medium_slow
72,Tentacool,slow
73,Tentacruel,slow
74,Geodude,medium_slow
75,Graveler,medium_slow
76,Golem,medium_slow
77,Ponyta,medium_fast
78,Rapidash,medium_fast
79,Slowpoke,medium_fast
80,Slowbro,medium_fast
81,Magnemite,medium_fast
82,Magneton,medium_fast
83,Farfetchd,medium_fast
84,Doduo,medium_fast
85,Dodrio,medium_fast
86,Seel,medium_fast
87,Dewgong,medium_fast
88,Grimer,medium_fast
89,Muk,medium_fast
90,Shellder,slow
91,Cloyster,slow
92,Gastly,medium_slow
93,Haunter,medium_slow
94,Gengar,medium_slow
95,Onix,medium_fast
96,Drowzee,medium_fast
97,Hypno,medium_fast
98,Krabby,medium_fast
99,Kingler,medium_fast
100,Voltorb,medium_fast
101,Electrode,medium_fast
102,Exeggcute,slow
103,Exeggutor,slow
104,Cubone,medium_fast
105,Marowak,medium_fast
106,Hitmonlee,medium_fast
107,Hitmonchan,medium_fast
108,Lickitung,medium_fast
109,Koffing,medium_fast
110,Weezing,medium_fast
111,Rhyhorn,slow
112,Rhydon,slow
113,Chansey,fast
114,Tangela,medium_fast
115,Kangaskhan,medium_fast
116,Horsea,medium_fast
117,Seadra,medium_fast
118,Goldeen,medium_fast
119,Seaking,medium_fast
120,Staryu,slow
121,Starmie,slow
122,Mr. Mime,medium_fast
123,Scyther,medium_fast
124,Jynx,medium_fast
125,Electabuzz,medium_fast
126,Magmar,medium_fast
127,Pinsir,slow
128,Tauros,slow
129,Magikarp,slow
130,Gyarados,slow
131,Lapras,slow
132,Ditto,medium_fast
133,Eevee,medium_fast
134,Vaporeon,medium_fast
135,Jolteon,medium_fast
136,Flareon,medium_fast
137,Porygon,medium_fast
138,Omanyte,medium_fast
139,Omastar,medium_fast
140,Kabuto,medium_fast
141,Kabutops,medium_fast
142,Aerodactyl,slow
143,Snorlax,slow
144,Articuno,slow
145,Zapdos,slow
146,Moltres,slow
147,Dratini,slow
148,Dragonair,slow
149,Dragonite,slow
150,Mewtwo,slow
151,Mew,medium_slow
