trainer,pkmn_id,map,nearest_route,pokemon,moves,game_stage,notes,pkmn_level
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_f_1,ViridianForest,ViridianForest,Nidoran_f,Growl,Badge_1,,6
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_f_1,ViridianForest,ViridianForest,Nidoran_f,Tackle,Badge_1,,6
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_f_1,ViridianForest,ViridianForest,Nidoran_f,Poison Sting,Badge_1,,6
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_m_2,ViridianForest,ViridianForest,Nidoran_m,Leer,Badge_1,,6
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_m_2,ViridianForest,ViridianForest,Nidoran_m,Tackle,Badge_1,,6
ViridianForest_Lass_1,ViridianForest_Lass_1_Nidoran_m_2,ViridianForest,ViridianForest,Nidoran_m,Poison Sting,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Caterpie_1,ViridianForest,ViridianForest,Caterpie,Tackle,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Caterpie_1,ViridianForest,ViridianForest,Caterpie,String Shot,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Weedle_2,ViridianForest,ViridianForest,Weedle,Poison Sting,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Weedle_2,ViridianForest,ViridianForest,Weedle,String Shot,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Caterpie_2,ViridianForest,ViridianForest,Caterpie,Tackle,Badge_1,,6
ViridianForest_Bug_Catcher_1,ViridianForest_Bug_Catcher_1_Caterpie_2,ViridianForest,ViridianForest,Caterpie,String Shot,Badge_1,,6
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Metapod_1,ViridianForest,ViridianForest,Metapod,Tackle,Badge_1,,7
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Metapod_1,ViridianForest,ViridianForest,Metapod,Harden,Badge_1,,7
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Metapod_1,ViridianForest,ViridianForest,Metapod,String Shot,Badge_1,,7
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Caterpie_2,ViridianForest,ViridianForest,Caterpie,Tackle,Badge_1,,6
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Caterpie_2,ViridianForest,ViridianForest,Caterpie,String Shot,Badge_1,,6
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Kakuna_3,ViridianForest,ViridianForest,Kakuna,Poison Sting,Badge_1,,7
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Kakuna_3,ViridianForest,ViridianForest,Kakuna,String Shot,Badge_1,,7
ViridianForest_Bug_Catcher_2,ViridianForest_Bug_Catcher_2_Kakuna_3,ViridianForest,ViridianForest,Kakuna,Harden,Badge_1,,7
ViridianForest_Bug_Catcher_3,ViridianForest_Bug_Catcher_3_Caterpie_1,ViridianForest,ViridianForest,Caterpie,Tackle,Badge_1,,6
