trainer,pkmn_id,map,nearest_route,pokemon,moves,game_stage,pkmn_level
Brock_Rematch,Brock_Rematch_Omastar_1,Rematches,Rematches,Omastar,Blizzard,Rematches,64
Brock_Rematch,Brock_Rematch_Omastar_1,Rematches,Rematches,Omastar,Rock Slide,Rematches,64
Brock_Rematch,Brock_Rematch_Omastar_1,Rematches,Rematches,Omastar,Clamp,Rematches,64
Brock_Rematch,Brock_Rematch_Omastar_1,Rematches,Rematches,Omastar,Hydro Pump,Rematches,64
Brock_Rematch,Brock_Rematch_Onix_2,Rematches,Rematches,Onix,Fissure,Rematches,65
Brock_Rematch,Brock_Rematch_Onix_2,Rematches,Rematches,Onix,Rock Slide,Rematches,65
Brock_Rematch,Brock_Rematch_Onix_2,Rematches,Rematches,Onix,Earthquake,Rematches,65
Brock_Rematch,Brock_Rematch_Onix_2,Rematches,Rematches,Onix,Bind,Rematches,65
Brock_Rematch,Brock_Rematch_Kabutops_3,Rematches,Rematches,Kabutops,Slash,Rematches,64
Brock_Rematch,Brock_Rematch_Kabutops_3,Rematches,Rematches,Kabutops,Swords Dance,Rematches,64
Brock_Rematch,Brock_Rematch_Kabutops_3,Rematches,Rematches,Kabutops,Rock Slide,Rematches,64
Brock_Rematch,Brock_Rematch_Kabutops_3,Rematches,Rematches,Kabutops,Hydro Pump,Rematches,64
Brock_Rematch,Brock_Rematch_Golem_4,Rematches,Rematches,Golem,Body Slam,Rematches,64
Brock_Rematch,Brock_Rematch_Golem_4,Rematches,Rematches,Golem,Rock Slide,Rematches,64
Brock_Rematch,Brock_Rematch_Golem_4,Rematches,Rematches,Golem,Earthquake,Rematches,64
Brock_Rematch,Brock_Rematch_Golem_4,Rematches,Rematches,Golem,Explosion,Rematches,64
Brock_Rematch,Brock_Rematch_Exeggutor_5,Rematches,Rematches,Exeggutor,Reflect,Rematches,64
Brock_Rematch,Brock_Rematch_Exeggutor_5,Rematches,Rematches,Exeggutor,Solarbeam,Rematches,64
Brock_Rematch,Brock_Rematch_Exeggutor_5,Rematches,Rematches,Exeggutor,Confuse Ray,Rematches,64
Brock_Rematch,Brock_Rematch_Exeggutor_5,Rematches,Rematches,Exeggutor,Fire Spin,Rematches,64
Brock_Rematch,Brock_Rematch_Aerodactyl_6,Rematches,Rematches,Aerodactyl,Fly,Rematches,65
Brock_Rematch,Brock_Rematch_Aerodactyl_6,Rematches,Rematches,Aerodactyl,Rock Slide,Rematches,65
Brock_Rematch,Brock_Rematch_Aerodactyl_6,Rematches,Rematches,Aerodactyl,Earthquake,Rematches,65
Brock_Rematch,Brock_Rematch_Aerodactyl_6,Rematches,Rematches,Aerodactyl,Double Edge,Rematches,65
Misty_Rematch,Misty_Rematch_Seadra_1,Rematches,Rematches,Seadra,Ice Beam,Rematches,64
Misty_Rematch,Misty_Rematch_Seadra_1,Rematches,Rematches,Seadra,Double Team,Rematches,64
Misty_Rematch,Misty_Rematch_Seadra_1,Rematches,Rematches,Seadra,Slam,Rematches,64
Misty_Rematch,Misty_Rematch_Seadra_1,Rematches,Rematches,Seadra,Hydro Pump,Rematches,64
Misty_Rematch,Misty_Rematch_Pidgeot_2,Rematches,Rematches,Pidgeot,Blizzard,Rematches,65
Misty_Rematch,Misty_Rematch_Pidgeot_2,Rematches,Rematches,Pidgeot,Psychic,Rematches,65
Misty_Rematch,Misty_Rematch_Pidgeot_2,Rematches,Rematches,Pidgeot,Amnesia,Rematches,65
Misty_Rematch,Misty_Rematch_Pidgeot_2,Rematches,Rematches,Pidgeot,Hydro Pump,Rematches,65
Misty_Rematch,Misty_Rematch_Lapras_3,Rematches,Rematches,Lapras,Psychic,Rematches,64
Misty_Rematch,Misty_Rematch_Lapras_3,Rematches,Rematches,Lapras,Thunder,Rematches,64
Misty_Rematch,Misty_Rematch_Lapras_3,Rematches,Rematches,Lapras,Hydro Pump,Rematches,64
Misty_Rematch,Misty_Rematch_Lapras_3,Rematches,Rematches,Lapras,Blizzard,Rematches,64
Misty_Rematch,Misty_Rematch_Blastoise_4,Rematches,Rematches,Blastoise,Surf,Rematches,64
Misty_Rematch,Misty_Rematch_Blastoise_4,Rematches,Rematches,Blastoise,Earthquake,Rematches,64
Misty_Rematch,Misty_Rematch_Blastoise_4,Rematches,Rematches,Blastoise,Ice Beam,Rematches,64
Misty_Rematch,Misty_Rematch_Blastoise_4,Rematches,Rematches,Blastoise,Reflect,Rematches,64
Misty_Rematch,Misty_Rematch_Flareon_5,Rematches,Rematches,Flareon,Substitute,Rematches,64
Misty_Rematch,Misty_Rematch_Flareon_5,Rematches,Rematches,Flareon,Acid Armor,Rematches,64
Misty_Rematch,Misty_Rematch_Flareon_5,Rematches,Rematches,Flareon,Blizzard,Rematches,64
Misty_Rematch,Misty_Rematch_Flareon_5,Rematches,Rematches,Flareon,Hydro Pump,Rematches,64
Misty_Rematch,Misty_Rematch_Starmie_6,Rematches,Rematches,Starmie,Surf,Rematches,65
Misty_Rematch,Misty_Rematch_Starmie_6,Rematches,Rematches,Starmie,Psychic,Rematches,65
Misty_Rematch,Misty_Rematch_Starmie_6,Rematches,Rematches,Starmie,Recover,Rematches,65
Misty_Rematch,Misty_Rematch_Starmie_6,Rematches,Rematches,Starmie,Thunderbolt,Rematches,65
Lt._Surge_Rematch,Lt._Surge_Rematch_Electrode_1,Rematches,Rematches,Electrode,Light Screen,Rematches,64
Lt._Surge_Rematch,Lt._Surge_Rematch_Electrode_1,Rematches,Rematches,Electrode,Thunder Wave,Rematches,64
